,buy_and_hold,periodic_rebalance
2016-02-04,0.9632533542052899,0.9230623755649734
2016-02-05,0.9653513564005952,0.9259175235139239
2016-02-15,0.9668610208454524,0.9250342674149441
2016-02-16,0.9733246071602701,0.9316957001844443
2016-02-17,0.974773135627386,0.9310774827001849
2016-02-18,0.9757091994039291,0.9327207377532055
2016-02-19,0.9759354971020883,0.9326639378402958
2016-02-22,0.9810127399680534,0.9369235619421714
2016-02-23,0.9803548743977057,0.9365638181535181
2016-02-24,0.9812349024304964,0.9363443613587591
2016-02-25,0.9668935230668879,0.9232256981548231
2016-02-26,0.9719041278627305,0.9265179734597979
2016-02-29,0.9614853808735564,0.9160209906603951
2016-03-01,0.9703639647109559,0.9261891464654395
2016-03-02,0.988890026716227,0.9423872294870399
2016-03-03,0.9900314921403242,0.9437971544760959
2016-03-04,0.9972829871125664,0.9547175448355919
2016-03-07,1.0023982961347178,0.964855249022266
2016-03-08,0.9997373022955462,0.9634427055713262
2016-03-09,0.9878704489838402,0.9483037513990407
2016-03-10,0.9860897574990601,0.9480835624091548
2016-03-11,0.990496320677873,0.95514291050053
2016-03-14,0.9967596301254715,0.9594098413063562
2016-03-15,0.98972703166688,0.9495778998145771
2016-03-16,0.9932809537860583,0.9536858874110625
2016-03-17,1.0039186825922735,0.9663462653497734
2016-03-18,1.0087397489238255,0.9723878227031915
2016-03-21,1.009982346911462,0.9716099600207624
2016-03-22,1.010153524878543,0.9720075964986628
2016-03-23,1.0101820539498099,0.9709235278916518
2016-03-24,0.9986181619578198,0.9562813982765448
2016-03-25,1.0028497561947791,0.9609295851529976
2016-03-28,1.0013405269878892,0.9609419995426901
2016-03-29,0.9973468063936956,0.9555430229664005
2016-03-30,1.0105874053156072,0.9683822174524638
2016-03-31,1.0078229001131755,0.9645449267400911
2016-04-01,1.0104050639545328,0.9686995926475856
2016-04-05,1.0117328286569407,0.9668922576187671
2016-04-06,1.0117626230475636,0.9675405027937454
2016-04-07,1.0117228582546587,0.9694523783737798
2016-04-08,1.0085976591340078,0.9681778727644299
2016-04-11,1.0147849138532108,0.9764640973662481
2016-04-12,1.0144093675187384,0.9774586572356716
2016-04-13,1.0207266112255367,0.9879365906014042
2016-04-14,1.022898159076075,0.9901341555025086
2016-04-15,1.0246281710405651,0.9928620621579378
2016-04-18,1.0164701657854829,0.9798402286913311
2016-04-19,1.023656898012772,0.9927578596796438
2016-04-20,1.018213286567071,0.9899663881788777
2016-04-21,1.0225875101673911,0.9997139150167285
2016-04-22,1.0193296326334846,0.9946228104235025
2016-04-25,1.0165486662733427,0.9963137656312038
2016-04-26,1.016755118794878,0.9943767795379835
2016-04-27,1.019006864493887,1.001601230136003
2016-04-28,1.0225323881647272,1.009030160472691
2016-04-29,1.0239391285211685,1.0110676010379833
2016-05-03,1.030911555323752,1.0144930634820177
2016-05-04,1.0225609389553756,1.0027184328534402
2016-05-05,1.0206681429115256,0.9996569350188682
2016-05-06,1.0133234305148136,0.9913600457736444
2016-05-09,1.0091879534229853,0.9888801487711072
2016-05-10,1.0057140723268871,0.9825740920421621
2016-05-11,1.0142178859898296,0.9939708342272744
2016-05-12,1.0140804227870874,0.9955159746381935
2016-05-13,1.012340074346333,0.9932900740474268
2016-05-16,1.0138090651674116,0.9943359614516469
2016-05-17,1.0167869544373067,0.9990698299111472
2016-05-18,1.0118407124634394,0.9947489038544309
2016-05-19,1.0074549792690195,0.9894407358415458
2016-05-20,1.0097491570621153,0.9916484646641612
2016-05-23,1.0112999387342965,0.9927087059182622
2016-05-24,1.0089424176841215,0.9909400031166835
2016-05-25,1.0115341028337606,0.9950711286514384
2016-05-26,1.0150032007737593,1.0005742097490797
2016-05-27,1.0144786605874991,0.9987982770166672
2016-05-30,1.0145451281051787,0.9982094918114367
