,nav
2023-03-01,1.138081315923191
2023-03-02,1.1386686737029377
2023-03-03,1.1393366935734184
2023-03-06,1.1392854950961644
2023-03-07,1.1391922955552094
2023-03-08,1.1376743410143824
2023-03-09,1.136982919321596
2023-03-10,1.137959681729036
2023-03-13,1.1380362582274997
2023-03-14,1.1386893833693095
2023-03-15,1.1384052810167933
2023-03-16,1.1378495658977539
2023-03-17,1.136567992390611
2023-03-20,1.1381135088976115
2023-03-21,1.1373506447084976
2023-03-22,1.1366076574971
2023-03-23,1.1366517339828908
2023-03-24,1.1369580578239327
2023-03-27,1.1367727857932923
2023-03-28,1.1370699857894668
2023-03-29,1.1373560205188222
2023-03-30,1.1363646194157597
2023-03-31,1.136348283358801
2023-04-03,1.136073889263555
2023-04-04,1.1361845763216083
2023-04-06,1.1368253299778357
2023-04-07,1.1357379254670672
2023-04-10,1.1349064959558204
2023-04-11,1.135262327354773
2023-04-12,1.1357722803621546
2023-04-13,1.1364309035253806
2023-04-14,1.1348371062665321
2023-04-17,1.1333025240734205
2023-04-18,1.13308213407076
2023-04-19,1.1338642752361905
2023-04-20,1.1337236291225938
2023-04-21,1.132586737579446
2023-04-24,1.1318990448351882
2023-04-25,1.133158754586411
2023-04-26,1.1320777459231972
2023-04-27,1.1299757536900363
2023-04-28,1.1307525349094505
2023-05-04,1.1305823581097172
2023-05-05,1.1293181625895476
2023-05-08,1.1278710446053264
2023-05-09,1.1277842391214137
2023-05-10,1.1286931863190401
2023-05-11,1.1292113849748233
2023-05-12,1.1283727828353147
2023-05-15,1.1276461158644318
2023-05-16,1.1268072582926956
2023-05-17,1.1257905324143536
2023-05-18,1.1249224831301206
2023-05-19,1.1247516497524523
2023-05-22,1.125604690779166
2023-05-23,1.1237279668755313
2023-05-24,1.12719402807675
2023-05-25,1.1269622320407016
2023-05-26,1.1247594805026702
2023-05-29,1.1221804419802948
2023-05-30,1.1206680400620643
2023-05-31,1.123797114082362
2023-06-01,1.1233314504201988
2023-06-02,1.121548592918819
2023-06-05,1.1195169196434778
2023-06-06,1.1223236257053248
2023-06-07,1.1220974209848247
2023-06-08,1.1176538981950197
2023-06-09,1.1203140333215897
2023-06-12,1.1219891503849955
2023-06-13,1.1250298000752463
2023-06-14,1.1248622506305463
2023-06-15,1.1211731018084392
2023-06-16,1.1193483431379536
2023-06-19,1.1185111913504235
2023-06-20,1.1187893800424253
2023-06-21,1.1184719576339703
2023-06-26,1.1191706720230392
2023-06-27,1.117312667686679
2023-06-28,1.1178453288186425
2023-06-29,1.1183931015222677
2023-06-30,1.118267891504727
2023-07-03,1.1186271579737097
2023-07-04,1.118300602505154
2023-07-05,1.119410551451379
2023-07-06,1.1208037887470323
2023-07-07,1.1219163473730285
2023-07-10,1.1203042823478866
2023-07-11,1.119538326240832
2023-07-12,1.119227358553698
2023-07-13,1.1198998805936051
2023-07-14,1.1198790155838128
2023-07-17,1.1231115762015378
2023-07-18,1.1244733120587946
